date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2024-08-22,Ferencvárosi TC,FK Borac,0,0,INT-Europa League,2425,,,uefa,QUALIFYING,52298,50104,HUN,BIH,Ferencvárosi TC|Ferencváros,FK Borac|Borac
2024-08-22,SC Braga,SK Rapid,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,52336,50042,POR,AUT,SC Braga|Braga,SK Rapid
2024-08-29,FC Petrocub,PFC Ludogorets 1945,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,2607112,2603104,MDA,BUL,FC Petrocub|Petrocub,PFC Ludogorets 1945|Ludogorets
2024-08-29,APOEL FC,FC RFS,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,50118,2609104,CYP,LVA,APOEL FC|APOEL,FC RFS|RFS
2024-08-29,IF Elfsborg,Molde FK,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,52344,50142,SWE,NOR,IF Elfsborg|Elfsborg,Molde FK|Molde
2024-08-29,RSC Anderlecht,FC Dinamo-Minsk,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,50074,50161,BEL,BLR,RSC Anderlecht|Anderlecht,FC Dinamo-Minsk|Dinamo-Minsk
2024-08-29,AFC Ajax,Jagiellonia Białystok,3,0,INT-Europa League,2425,,,uefa,QUALIFYING,50143,2600277,NED,POL,AFC Ajax|Ajax,Jagiellonia Białystok|Jagiellonia
2024-08-29,Beşiktaş JK,FC Lugano,5,1,INT-Europa League,2425,,,uefa,QUALIFYING,50157,8538,TUR,SUI,Beşiktaş JK|Beşiktaş,FC Lugano|Lugano
2024-08-29,Fotbal Club FCSB,LASK,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,50065,63405,ROU,AUT,Fotbal Club FCSB|FCSB,LASK
2024-08-29,Heart of Midlothian FC,FC Viktoria Plzeň,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,50120,64388,SCO,CZE,Heart of Midlothian FC|Hearts,FC Viktoria Plzeň|Viktoria Plzeň
2024-08-29,FK TSC,Maccabi Tel-Aviv FC,1,5,INT-Europa League,2425,,,uefa,QUALIFYING,2610140,57477,SRB,ISR,FK TSC|TSC,Maccabi Tel-Aviv FC|M. Tel-Aviv
2024-08-29,Shamrock Rovers FC,PAOK FC,0,2,INT-Europa League,2425,,,uefa,QUALIFYING,52381,50130,IRL,GRE,Shamrock Rovers FC|Shamrock Rovers,PAOK FC|PAOK
2024-08-29,FK Borac,Ferencvárosi TC,0,0,INT-Europa League,2425,,,uefa,QUALIFYING,50104,52298,BIH,HUN,FK Borac|Borac,Ferencvárosi TC|Ferencváros
2024-08-29,SK Rapid,SC Braga,2,2,INT-Europa League,2425,,,uefa,QUALIFYING,50042,52336,AUT,POR,SK Rapid,SC Braga|Braga
2024-09-25,AZ Alkmaar,IF Elfsborg,3,2,INT-Europa League,2425,,,uefa,TOURNAMENT,52327,52344,NED,SWE,AZ Alkmaar,IF Elfsborg|Elfsborg
2024-09-25,FK Bodø/Glimt,FC Porto,3,2,INT-Europa League,2425,,,uefa,TOURNAMENT,59333,50064,NOR,POR,FK Bodø/Glimt|Bodø/Glimt,FC Porto|Porto
2024-09-25,Manchester United,FC Twente,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52682,52818,ENG,NED,Manchester United|Man Utd,FC Twente|Twente
2024-09-25,Galatasaray A.Ş.,PAOK FC,3,1,INT-Europa League,2425,,,uefa,TOURNAMENT,50067,50130,TUR,GRE,Galatasaray A.Ş.|Galatasaray,PAOK FC|PAOK
2024-09-25,FC Dynamo Kyiv,S.S. Lazio,0,3,INT-Europa League,2425,,,uefa,TOURNAMENT,52723,52973,UKR,ITA,FC Dynamo Kyiv|Dynamo Kyiv,S.S. Lazio|Lazio
